Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2532900
India,IND,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2385000
India,IND,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2238000
India,IND,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2091000
India,IND,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1944000
India,IND,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1797000
India,IND,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1650000
India,IND,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1502000
India,IND,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1354864
India,IND,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1257630
India,IND,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1195013
India,IND,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1136160
India,IND,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1063012
India,IND,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,988070
India,IND,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,925365
India,IND,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,750935
India,IND,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,697568
India,IND,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,648932
India,IND,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,607773
India,IND,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,553555
India,IND,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,502581
India,IND,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,461567
India,IND,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,417769
India,IND,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,382869
India,IND,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,378714
India,IND,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,334138
India,IND,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,294313
India,IND,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,250884
India,IND,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,227668
India,IND,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,203351
India,IND,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,184293
India,IND,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,170000
India,IND,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,143000
India,IND,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,100000
India,IND,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,90000
India,IND,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,78000
India,IND,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,66000
India,IND,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,54012
India,IND,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,48000
India,IND,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,44000
India,IND,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,40000
India,IND,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,35000
India,IND,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,31016
India,IND,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,176.042247195875
India,IND,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,156.483317038389
India,IND,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,152.701187574258
India,IND,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,146.530556014768
India,IND,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,144.728520036811
India,IND,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,149.441673137188
India,IND,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,154.546113601489
India,IND,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,149.517841984085
India,IND,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,159.54027888951
India,IND,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,171.196237140606
India,IND,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,171.491764074282
India,IND,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,181.231008642721
India,IND,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,188.965017924367
India,IND,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,172.230339025303
India,IND,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,152.551053782092
India,IND,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.896008909816
India,IND,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.48632440882
India,IND,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,119.961055081536
India,IND,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,113.401275032345
India,IND,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,118.59459311618
India,IND,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,113.68746025741
India,IND,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,126.089684435893
India,IND,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,122.865994285005
India,IND,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,122.984938510516
India,IND,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,128.156746926633
India,IND,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,122.323912218476
India,IND,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.282937810091
India,IND,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,135.275568379785
India,IND,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,124.391689432834
India,IND,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,128.751462074966
India,IND,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.502493379837
India,IND,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.118677120043
India,IND,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,119.232759070412
India,IND,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,116.262330584029
India,IND,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,135.56441783599
India,IND,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,150.141679381483
India,IND,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,152.249667071618
India,IND,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,145.032608567361
India,IND,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.351481127137
India,IND,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,148.029388867264
India,IND,1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,183.053202752779
India,IND,1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,175.47672135512
India,IND,1978,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,173.052276559865
India,IND,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,160.314972383938
India,IND,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,145.600204542549
India,IND,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,191.158286370849
India,IND,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,169.541441560153
India,IND,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,206.526484284051
India,IND,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,199.87723859041
India,IND,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,214.344493747479
India,IND,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,212.766358664907
India,IND,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,207.691501624227
India,IND,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,226.835867044576
India,IND,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,252.419222568476
India,IND,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,242.049703100946
India,IND,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,219.967534743152
India,IND,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,206.61090773054
India,IND,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,166.395408600308
India,IND,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,160.074196266115
India,IND,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,153.983404567158
India,IND,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,209.408466304045
India,IND,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,186.456666096266
India,IND,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,176.071313435643
